2014-04-16 20:35:56 status unpacked debconf:all 1.5.51ubuntu2
2014-04-16 20:35:56 install debianutils:amd64 <none> 4.4
2014-04-16 20:35:56 status half-installed debianutils:amd64 4.4
2014-04-16 20:35:56 status unpacked debianutils:amd64 4.4
2014-04-16 20:35:56 status unpacked debianutils:amd64 4.4
2014-04-16 20:35:56 install diffutils:amd64 <none> 1:3.3-1
2014-04-16 20:35:56 status half-installed diffutils:amd64 1:3.3-1
2014-04-16 20:35:56 status unpacked diffutils:amd64 1:3.3-1
2014-04-16 20:35:56 status unpacked diffutils:amd64 1:3.3-1
2014-04-16 20:35:56 upgrade dpkg:amd64 1.17.5ubuntu5 1.17.5ubuntu5
2014-04-16 20:35:56 status half-configured dpkg:amd64 1.17.5ubuntu5
2014-04-16 20:35:56 status unpacked dpkg:amd64 1.17.5ubuntu5
2014-04-16 20:35:56 status half-installed dpkg:amd64 1.17.5ubuntu5
2014-04-16 20:35:56 status half-installed dpkg:amd64 1.17.5ubuntu5
2014-04-16 20:35:56 status unpacked dpkg:amd64 1.17.5ubuntu5
2014-04-16 20:35:56 status unpacked dpkg:amd64 1.17.5ubuntu5
2014-04-16 20:35:56 install e2fslibs:amd64 <none> 1.42.9-3ubuntu1
2014-04-16 20:35:56 status half-installed e2fslibs:amd64 1.42.9-3ubuntu1
2014-04-16 20:35:56 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2014-04-16 20:35:56 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2014-04-16 20:35:56 install e2fsprogs:amd64 <none> 1.42.9-3ubuntu1
2014-04-16 20:35:56 status half-installed e2fsprogs:amd64 1.42.9-3ubuntu1
2014-04-16 20:35:57 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2014-04-16 20:35:57 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2014-04-16 20:35:57 install findutils:amd64 <none> 4.4.2-7
2014-04-16 20:35:57 status half-installed findutils:amd64 4.4.2-7
2014-04-16 20:35:57 status unpacked findutils:amd64 4.4.2-7
